Learning rate,Batch size,Dropout rate,Penalized BLEU score,Total training time in seconds
 1e-05	, 128,	  0.3,	 70.000,2329.99
 5e-05	 ,128,	  0.3,	 70.760,2430.23
 8e-05,	 128,	  0.3,	     5.86,805.22 
  0.0001,    128,	0.3,	1.828,1393.67
 1e-06,	 128,	  0.3,	 21.866,680.84 
 1e-05,	 128,	  0.1,	 71.064,2766.21
 5e-05,	 128,	  0.1,	 69.749,560.67 
 8e-05,	 128,	  0.1,	 69.575,1402.84
  0.0001,	 128,	 0.1,	 69.734,566.86 
 1e-06,	 128,	  0.1,	 70.412,14917.2
 1e-05,	 128,	  0.0,	 71.440,4699.56
 5e-05,	 128,	  0.0,	 69.616,761.47 
 8e-05,	 128,	  0.0,	 69.642,2053.4
  0.0001,	 128,	0,	6.57,570.83 
 1e-06,	 128,	  0.0,	 23.083,1587.28
 1e-05,	 64,	0.3,	 70.139,2363.71
 5e-05,	64,	0.3,	 70.067,899.78 
 8e-05,	 64,	0.3,	0.231,530.80 
 0.0001,	 64,	0.3,	1.866,1047
 1e-06,	 64,	0.3,	 68.070,7355.01
 1e-05,	 64	,0.1,	 71.508,1923.18
 5e-05,	 64,	0.1,	 71.018,1126.48
 8e-05,	 64,	0.1	, 70.335,995.47 
 0.0001,	 64,	0.1,	 70.560,866.87 
 1e-06,	 64,	0.1	, 69.712,6143.16
 1e-05,	 64	,0	, 71.308,2676.12
 5e-05,	 64,	0,	 69.525,1154.62
 8e-05,	 64,	0,	 70.271,1722.86
 0.0001,	 64,	  0.0,	 69.693,1167.23
 1e-06,	 64,	0,	 69.977,5344.79
 1e-05,	 32	,0.3,	 70.744,2833.33
 5e-05,	 32,	0.3,	 70.538,1035.29
 8e-05,	 32,	0.3	, 69.578,898.14 
 0.0001,	 32,	  0.3,	 69.365,1050.56
 1e-06,	 32,	0.3,	 69.883,6702.69
 1e-05,	 32,	0.1	, 71.392,1638.52
 5e-05,	 32,	0.1,	 71.083,876.17 
 8e-05,	 32,	0.1,	 70.641,846.89 
 0.0001,	 32,	  0.1,	 70.743,717.08 
 1e-06,	 32,	0.1	, 70.903,6788.35
 1e-05,	 32,	0,	 71.393,1818.54
 5e-05,	 32,	0,	 69.479,714.45 
 8e-05,	 32,	0,	 69.846,1019.74
 0.0001,	 32,	  0.0	, 70.065,861.69 
 1e-06,	 32,	 0.0,	 71.292,7198.46
